z1,z2,z3,x2,x1
2.215,2.598,0.763,0.091,1
0.419,0.728,0.603,-0.097,1
0.725,1.143,0.294,0.067,1
0.186,0.871,1.56,0.001,1
2.476,1.77,1.665,1.531,1
1.164,1.264,1.768,0.35,1
-1.539,-0.488,-0.981,-1.404,1
-0.03,1.122,0.98,-0.033,1
0.148,0.578,-0.601,-0.32,1
1.521,1.318,1.259,0.076,1
0.497,0.312,0.44,0.007,1
-0.425,-0.539,1.584,-0.005,1
1.268,1.146,-1.058,-0.582,1
1.459,1.469,1.235,0.313,1
-1.039,-1.124,-0.728,-0.218,1
-0.457,0.688,0.375,0.709,1
1.094,0.833,1.025,1.4,1
-0.544,0.224,-0.662,-1.384,1
0.947,0.876,0.731,-0.869,1
-0.826,-2.063,-0.409,-1.225,1
0.136,0.168,-0.717,-0.476,1
0.172,1.058,-1.001,-0.638,1
0.974,1.326,-0.27,0.597,1
0.338,0.093,-0.216,-0.431,1
1.214,0.914,-0.11,0.594,1
-0.105,1.182,-0.281,-0.591,1
0.96,0.616,0.453,0.384,1
0.914,1.29,0.029,1.03,1
0.276,0.193,-0.953,-1.102,1
-0.049,-0.162,0.474,0.959,1
0.859,0.427,-0.046,-0.884,1
1.706,2.457,1.261,0.221,1
1.903,1.566,0.948,-0.077,1
-0.79,-2.016,0.291,-1.34,1
0.867,-0.039,1.139,0.887,1
-1.266,-1.139,-0.52,-1.934,1
0.199,-0.333,-0.639,-0.908,1
1.259,0.943,1.463,0.947,1
0.681,-0.103,0.565,0.012,1
1.07,0.691,1.212,0.428,1
0.355,-1.258,-0.86,-1.448,1
1.447,0.986,1.243,0.684,1
0.678,0.138,-0.562,0.27,1
2.308,1.424,-0.171,-0.104,1
1.217,1.789,0.599,-1.214,1
2.413,2.004,2.176,1.557,1
2.128,2.507,2.613,1.141,1
0.758,0.847,-0.442,0.274,1
0.479,0.563,0.287,0.756,1
2.494,1.649,0.711,0.688,1
-0.938,-0.395,-0.213,-2.168,1
0.974,1.043,0.602,-0.145,1
0.754,0.592,-1.139,-0.732,1
0.666,0.882,0.664,-0.474,1
-0.763,-1.139,-1.175,-2.889,1
-0.031,1.688,0.206,0.142,1
0.677,1.115,0.527,-0.004,1
1.942,1.779,1.879,1.933,1
0.914,0.853,0.372,1.277,1
-1.399,-0.33,1.1,1.581,1
-0.278,0.281,-0.023,1.119,1
2.971,2.622,1.751,1.264,1
1.384,1.419,0.333,0.078,1
0.315,0.535,-0.098,0.241,1
1.143,0.784,1.369,0.628,1
3.257,3.552,3.926,3.094,1
0.966,1.549,0.409,0.607,1
1.528,1.286,0.514,0.263,1
1.893,2.226,1.352,1.376,1
0.671,0.84,1.721,-0.159,1
0.174,0.483,0.458,0.252,1
0.909,0.865,-0.132,0.682,0
1.25,0.864,-0.491,0.369,0
-0.669,-0.025,-0.104,-0.425,0
0.456,0.533,0.17,0.647,0
0.06,0.314,-0.924,0.312,0
-1.709,-1.134,0.214,0.502,0
-0.72,-0.93,0.419,0.2,0
-2.35,-1.492,-0.818,0.566,0
0.699,1.299,0.258,0.876,0
0.007,0.699,0.424,0.432,0
1.874,1.942,0.641,0.789,0
-0.159,-0.3,-0.227,-0.241,0
-1.4,-1.622,-1.733,-0.359,0
-0.992,-1.631,0.493,-0.536,0
0.935,0.486,0.701,1.475,0
1.527,2.019,0.371,-0.134,0
-1.17,-1.597,-2.601,-2.243,0
-0.562,0.093,-0.592,0.625,0
1.555,1.296,0.877,1.037,0
0.313,0.051,-0.075,-1.132,0
-0.205,0.111,0.325,-0.598,0
-1.359,-0.446,-0.492,-1.084,0
-1.61,-0.364,-1.388,-0.841,0
-1.706,-1.363,-1.351,-1.292,0
0.261,0.32,0.39,-0.391,0
-0.092,-0.567,-0.531,-0.678,0
-0.29,-0.489,0.246,-0.054,0
0.446,0.543,0.533,-0.066,0
-1.396,-0.726,-0.266,0.3,0
-1.195,-0.941,0.817,-0.48,0
0.979,1.047,2.142,0.325,0
1.369,1.128,2.619,1.858,0
-1.093,-0.584,0.128,-0.454,0
0.046,0.833,-0.193,-0.267,0
0.445,0.484,1.547,1.052,0
1.196,0.503,0.765,0.318,0
0.526,0.323,-0.339,-0.087,0
1.478,1.377,-1.292,-0.677,0
0.419,0.832,-0.416,1.215,0
0.454,-0.292,0.865,0.151,0
0.248,-0.011,0.238,0.874,0
-1.089,-1.572,-0.699,-1.244,0
2.65,2.852,2.246,1.517,0
0.226,-0.039,-0.355,0.43,0
1.9,1.68,1.091,1.507,0
-1.086,-0.999,-1.313,-1.258,0
-0.041,-0.131,0.66,1.324,0
-0.652,-1.241,0.281,-0.209,0
-0.787,-0.51,-0.041,0.035,0
1.381,0.718,1.368,1.487,0
-1.032,-0.916,-0.531,-1.635,0
-0.422,-0.062,0.616,-0.797,0
0.704,-0.852,-0.151,1.586,0
0.878,0.476,0.743,-0.495,0
-0.194,-0.306,-1.483,-1.48,0
0.444,0.202,1.404,1.093,0
-0.736,-1.052,-0.834,-0.529,0
-0.951,-0.693,-0.094,-0.684,0
-0.785,-0.35,0.392,0.696,0
-0.914,-0.057,-0.372,0.041,0
0.747,-0.34,0.481,0.883,0
-0.471,-1.532,-3.267,-1.283,0
0.017,0.384,-1.544,-0.542,0
-0.901,-0.771,-0.128,1.545,0
-1.3,-0.692,-0.891,-2.412,0
-0.634,-0.344,-0.469,0.011,0
-1.15,-0.523,-1.852,-3.228,0
-0.569,-1.04,-0.799,-0.491,0
-1.37,-1.239,-1.345,-0.631,0
1.32,0.078,-0.29,0.143,0
0.191,0.488,0.459,-0.802,0
0.61,0.615,-0.015,-0.154,0
-1.249,-1.08,-0.791,0.638,0
-0.653,-0.82,-0.743,-0.334,0
0.354,0.349,1.21,2.939,0
2.446,2.069,1.022,0.612,0
0.019,0.814,-0.181,-0.255,0
-0.183,-1.318,0.386,-0.227,0
-0.851,-1.126,-1.578,-1.874,0
1.757,1.982,0.603,0.025,0
0.799,0.788,0.068,0.355,0
-0.847,-0.759,-0.437,-0.54,0
0.45,0.015,-0.158,0.324,0
0.199,0.618,1.253,0.397,0
-0.79,-0.62,-0.009,-0.528,0
0.533,0.812,1.318,0.602,0
0.229,-0.195,-0.609,0.985,0
-2.249,-1.524,-1.126,-0.874,0
0.548,0.739,0.83,0.31,0
0.248,0.417,0.349,0.329,0
-0.776,-0.698,-1.279,0.082,0
-0.697,0.13,-1.626,-0.921,0
2.291,1.349,1.45,0.687,0
0.451,0.144,1.833,1.8,0
-2.677,-1.45,-1.097,-0.083,0
1.061,0.905,0.436,-0.11,0
0.836,0.575,-0.382,-0.156,0
0.338,0.725,0.571,0.742,0
0.873,0.816,0.244,-0.804,0
-1.406,-0.086,-0.92,-0.626,0
-0.238,-0.585,-0.104,1.028,0
1.612,0.923,-0.783,0.284,0
-0.948,0.029,-0.465,0.275,0
-0.542,0.327,0.128,-0.14,0
-0.148,0.136,-1.055,0.401,0
0.184,0.78,-0.125,0.533,0
1.39,0.589,0.439,-0.496,0
0.768,0.986,0.528,-0.918,0
-0.322,0.126,0.087,0.858,0
-0.004,0.075,-0.784,0.184,0
0.195,-0.223,-0.078,-0.122,0
0.301,0.464,-0.145,0.255,0
-1.761,-1.599,0.048,-0.524,0
1.463,1.664,1.152,0.134,0
-0.621,-0.53,-1.087,-0.045,0
-0.871,0.11,1.173,1.799,0
1.327,1.877,1.133,1.852,0
-1.227,-0.875,0.17,-0.662,0
-0.884,-0.623,-0.324,-0.953,0
-1.265,-0.413,-0.448,-0.333,0
-0.102,-0.788,-0.06,-0.559,0
1.778,2.443,-0.452,0.385,0
-0.976,-1.037,-3.147,-2.103,0
-0.547,-0.376,-0.032,-0.513,0
0.845,0.068,-0.248,0.187,0
0.024,-0.916,-0.366,0.398,0
0.988,0.382,2.657,2.076,0
-0.063,-0.271,1.066,1.04,0
2.321,1.539,1.352,1.096,0
-1.545,-1.598,-0.963,-1.01,0
1.154,0.558,0.816,0.744,0
-0.791,-1.545,0.527,-0.372,0
-1.719,-1.602,-0.597,-0.598,0
0.556,0.883,1.68,-0.207,0
0.76,1.766,0.189,1.251,0
0.701,0.433,-0.806,0.365,0
2.469,0.149,1.398,2.066,0
-1.471,-2.031,-0.05,-0.49,0
0.989,1.23,0.684,0.083,0
1.067,1.281,1.659,0.054,0
-0.293,-0.572,-0.988,-0.973,0
0.282,0.268,0.584,1.087,0
1.548,1.485,0.614,0.378,0
0.747,0.361,-2.64,-1.644,0
-0.904,-0.582,-0.6,-1.372,0
-1.732,-1.505,-0.844,-2.173,0
-0.584,-0.648,-1.314,-0.539,0
-0.576,0.224,-0.543,-0.404,0
-0.179,-0.67,-0.458,-0.654,0
1.284,1.461,1.029,0.972,0
