z1,z2,z3,x2,x1
-0.951,-0.693,-0.094,-0.684,0
-0.785,-0.35,0.392,0.696,0
-0.914,-0.057,-0.372,0.041,0
0.747,-0.34,0.481,0.883,0
-0.471,-1.532,-3.267,-1.283,0
0.017,0.384,-1.544,-0.542,0
NA,-0.771,-0.128,1.545,0
-1.3,-0.692,-0.891,-2.412,0
-0.634,-0.344,-0.469,0.011,0
-1.15,-0.523,-1.852,-3.228,0
NA,-1.04,-0.799,-0.491,0
-1.37,-1.239,-1.345,-0.631,0
NA,0.078,-0.29,0.143,0
0.191,0.488,0.459,-0.802,0
0.61,0.615,NA,-0.154,0
-1.249,-1.08,-0.791,0.638,0
-0.653,-0.82,-0.743,-0.334,0
0.354,0.349,NA,2.939,0
NA,NA,NA,0.612,0
0.019,0.814,-0.181,-0.255,0
-0.183,-1.318,0.386,-0.227,0
-0.851,-1.126,-1.578,-1.874,0
NA,1.982,0.603,0.025,0
0.799,0.788,0.068,0.355,0
-0.847,-0.759,-0.437,-0.54,0
0.45,0.015,NA,0.324,0
0.199,0.618,NA,0.397,0
-0.79,-0.62,-0.009,-0.528,0
0.533,NA,NA,0.602,0
0.229,-0.195,-0.609,0.985,0
-2.249,-1.524,-1.126,-0.874,0
0.548,0.739,0.83,0.31,0
0.248,0.417,0.349,0.329,0
-0.776,-0.698,-1.279,0.082,0
-0.697,0.13,-1.626,-0.921,0
2.291,NA,NA,0.687,0
0.451,0.144,1.833,1.8,0
-2.677,-1.45,-1.097,-0.083,0
NA,NA,0.436,-0.11,0
0.836,0.575,-0.382,-0.156,0
0.338,0.725,0.571,0.742,0
NA,0.816,0.244,-0.804,0
-1.406,-0.086,-0.92,-0.626,0
-0.238,-0.585,-0.104,1.028,0
NA,NA,-0.783,0.284,0
-0.948,0.029,-0.465,0.275,0
-0.542,0.327,0.128,-0.14,0
NA,0.136,-1.055,0.401,0
0.184,0.78,-0.125,0.533,0
NA,0.589,0.439,-0.496,0
0.768,NA,0.528,-0.918,0
-0.322,0.126,0.087,0.858,0
-0.004,0.075,-0.784,0.184,0
0.195,-0.223,NA,-0.122,0
0.301,0.464,-0.145,0.255,0
-1.761,-1.599,0.048,-0.524,0
NA,NA,1.152,0.134,0
-0.621,-0.53,-1.087,-0.045,0
-0.871,0.11,NA,1.799,0
NA,NA,NA,1.852,0
-1.227,-0.875,0.17,-0.662,0
NA,-0.623,-0.324,-0.953,0
-1.265,-0.413,-0.448,-0.333,0
-0.102,-0.788,-0.06,-0.559,0
NA,NA,-0.452,0.385,0
-0.976,-1.037,NA,-2.103,0
-0.547,-0.376,-0.032,-0.513,0
0.845,0.068,-0.248,0.187,0
0.024,-0.916,-0.366,0.398,0
0.988,0.382,NA,2.076,0
-0.063,-0.271,NA,1.04,0
2.321,NA,NA,1.096,0
-1.545,-1.598,-0.963,-1.01,0
NA,0.558,0.816,0.744,0
-0.791,-1.545,0.527,-0.372,0
-1.719,-1.602,-0.597,-0.598,0
0.556,NA,1.68,-0.207,0
0.76,1.766,0.189,1.251,0
0.701,0.433,-0.806,0.365,0
NA,0.149,1.398,2.066,0
-1.471,-2.031,-0.05,-0.49,0
NA,NA,0.684,0.083,0
NA,NA,NA,0.054,0
-0.293,-0.572,-0.988,-0.973,0
0.282,0.268,0.584,1.087,0
NA,NA,0.614,0.378,0
0.747,0.361,-2.64,-1.644,0
-0.904,-0.582,-0.6,-1.372,0
-1.732,-1.505,-0.844,-2.173,0
-0.584,-0.648,-1.314,-0.539,0
-0.576,0.224,-0.543,-0.404,0
-0.179,-0.67,-0.458,-0.654,0
NA,NA,NA,0.972,0
